,Identifier,Apoptosis,Date,Culture,Patient,gd_donor,Treatment,Replicate
83,20220926_PDOgd_21_B_B7C18_C,38.92617634,20220926,PDOgd,21,B,B7C18,C
84,20220926_PDOgd_21_E_BM_A,22.3987571,20220926,PDOgd,21,E,BM,A
85,20220926_PDOgd_21_E_BM_B,19.63252539,20220926,PDOgd,21,E,BM,B
86,20220926_PDOgd_21_E_BM_C,20.44522957,20220926,PDOgd,21,E,BM,C
87,20220926_PDOgd_21_E_B7C18_A,24.67687491,20220926,PDOgd,21,E,B7C18,A
88,20220926_PDOgd_21_E_B7C18_B,18.03482079,20220926,PDOgd,21,E,B7C18,B
89,20220926_PDOgd_21_E_B7C18_C,21.00987172,20220926,PDOgd,21,E,B7C18,C
96,20220926_PDOgd_23_7_BM_A,26.52208549,20220926,PDOgd,23,7,BM,A
97,20220926_PDOgd_23_7_BM_B,28.03910181,20220926,PDOgd,23,7,BM,B
98,20220926_PDOgd_23_7_BM_C,17.71326378,20220926,PDOgd,23,7,BM,C
99,20220926_PDOgd_23_7_B7C18_A,37.19609752,20220926,PDOgd,23,7,B7C18,A
100,20220926_PDOgd_23_7_B7C18_B,48.49032254,20220926,PDOgd,23,7,B7C18,B
101,20220926_PDOgd_23_7_B7C18_C,43.39557726,20220926,PDOgd,23,7,B7C18,C
102,20220926_PDOgd_23_A_BM_A,30.33569324,20220926,PDOgd,23,A,BM,A
103,20220926_PDOgd_23_A_BM_B,26.90242768,20220926,PDOgd,23,A,BM,B
104,20220926_PDOgd_23_A_BM_C,24.95780667,20220926,PDOgd,23,A,BM,C
105,20220926_PDOgd_23_A_B7C18_A,36.96141935,20220926,PDOgd,23,A,B7C18,A
106,20220926_PDOgd_23_A_B7C18_B,48.2143613,20220926,PDOgd,23,A,B7C18,B
107,20220926_PDOgd_23_A_B7C18_C,50.05788905,20220926,PDOgd,23,A,B7C18,C
108,20220926_PDOgd_23_B_BM_A,12.92066057,20220926,PDOgd,23,B,BM,A
109,20220926_PDOgd_23_B_BM_B,14.37527883,20220926,PDOgd,23,B,BM,B
110,20220926_PDOgd_23_B_BM_C,17.62206212,20220926,PDOgd,23,B,BM,C
111,20220926_PDOgd_23_B_B7C18_A,46.18205115,20220926,PDOgd,23,B,B7C18,A
112,20220926_PDOgd_23_B_B7C18_B,46.53693852,20220926,PDOgd,23,B,B7C18,B
113,20220926_PDOgd_23_B_B7C18_C,44.77399383,20220926,PDOgd,23,B,B7C18,C
114,20220926_PDOgd_23_E_BM_A,6.387822603,20220926,PDOgd,23,E,BM,A
115,20220926_PDOgd_23_E_BM_B,5.318428015,20220926,PDOgd,23,E,BM,B
116,20220926_PDOgd_23_E_BM_C,10.01983518,20220926,PDOgd,23,E,BM,C
117,20220926_PDOgd_23_E_B7C18_A,14.09729312,20220926,PDOgd,23,E,B7C18,A
118,20220926_PDOgd_23_E_B7C18_B,15.81624307,20220926,PDOgd,23,E,B7C18,B
119,20220926_PDOgd_23_E_B7C18_C,21.88298251,20220926,PDOgd,23,E,B7C18,C
136,20220614_PDOgd_27_7_BM_A,35.47909805,20220614,PDOgd,27,7,BM,A
137,20220614_PDOgd_27_7_BM_B,36.61082647,20220614,PDOgd,27,7,BM,B
138,20220614_PDOgd_27_7_BM_C,37.01387768,20220614,PDOgd,27,7,BM,C
139,20220614_PDOgd_27_7_B7C18_A,40.17652408,20220614,PDOgd,27,7,B7C18,A
140,20220614_PDOgd_27_7_B7C18_B,40.15864287,20220614,PDOgd,27,7,B7C18,B
141,20220614_PDOgd_27_7_B7C18_C,41.87435353,20220614,PDOgd,27,7,B7C18,C
142,20220614_PDOgd_27_A_BM_A,43.61766502,20220614,PDOgd,27,A,BM,A
143,20220614_PDOgd_27_A_BM_B,43.33241878,20220614,PDOgd,27,A,BM,B
144,20220614_PDOgd_27_A_BM_C,43.31032723,20220614,PDOgd,27,A,BM,C
145,20220614_PDOgd_27_A_B7C18_A,50.00036374,20220614,PDOgd,27,A,B7C18,A
146,20220614_PDOgd_27_A_B7C18_B,48.31953813,20220614,PDOgd,27,A,B7C18,B
147,20220614_PDOgd_27_A_B7C18_C,48.13805518,20220614,PDOgd,27,A,B7C18,C
148,20220614_PDOgd_27_B_BM_A,20.84458772,20220614,PDOgd,27,B,BM,A
149,20220614_PDOgd_27_B_BM_B,17.84240148,20220614,PDOgd,27,B,BM,B
150,20220614_PDOgd_27_B_BM_C,14.33618294,20220614,PDOgd,27,B,BM,C
151,20220614_PDOgd_27_B_B7C18_A,40.51081252,20220614,PDOgd,27,B,B7C18,A
152,20220614_PDOgd_27_B_B7C18_B,38.20806661,20220614,PDOgd,27,B,B7C18,B
153,20220614_PDOgd_27_B_B7C18_C,37.64442325,20220614,PDOgd,27,B,B7C18,C
164,20220614_PDOgd_27_E_BM_A,27.85182915,20220614,PDOgd,27,E,BM,A
165,20220614_PDOgd_27_E_BM_B,27.7434965,20220614,PDOgd,27,E,BM,B
166,20220614_PDOgd_27_E_BM_C,28.85751087,20220614,PDOgd,27,E,BM,C
167,20220614_PDOgd_27_E_B7C18_A,29.37569454,20220614,PDOgd,27,E,B7C18,A
168,20220614_PDOgd_27_E_B7C18_B,33.88067488,20220614,PDOgd,27,E,B7C18,B
169,20220614_PDOgd_27_E_B7C18_C,31.19792821,20220614,PDOgd,27,E,B7C18,C
176,20230131_PDOgd_75_7_BM_A,0.656971063,20230131,PDOgd,75,7,BM,A
177,20230131_PDOgd_75_7_BM_B,0,20230131,PDOgd,75,7,BM,B
178,20230131_PDOgd_75_7_BM_C,2.034937053,20230131,PDOgd,75,7,BM,C
179,20230131_PDOgd_75_7_B7C18_A,5.444394863,20230131,PDOgd,75,7,B7C18,A
180,20230131_PDOgd_75_7_B7C18_B,7.316380133,20230131,PDOgd,75,7,B7C18,B
181,20230131_PDOgd_75_7_B7C18_C,9.623446663,20230131,PDOgd,75,7,B7C18,C
182,20230131_PDOgd_75_A_BM_A,5.347336133,20230131,PDOgd,75,A,BM,A
183,20230131_PDOgd_75_A_BM_B,11.96548847,20230131,PDOgd,75,A,BM,B
184,20230131_PDOgd_75_A_BM_C,4.999747333,20230131,PDOgd,75,A,BM,C
185,20230131_PDOgd_75_A_B7C18_A,18.70720411,20230131,PDOgd,75,A,B7C18,A
186,20230131_PDOgd_75_A_B7C18_B,19.72913063,20230131,PDOgd,75,A,B7C18,B
187,20230131_PDOgd_75_A_B7C18_C,36.59972391,20230131,PDOgd,75,A,B7C18,C
188,20230131_PDOgd_75_B_BM_A,0,20230131,PDOgd,75,B,BM,A
189,20230131_PDOgd_75_B_BM_B,3.933035623,20230131,PDOgd,75,B,BM,B
190,20230131_PDOgd_75_B_BM_C,5.350353803,20230131,PDOgd,75,B,BM,C
191,20230131_PDOgd_75_B_B7C18_A,0,20230131,PDOgd,75,B,B7C18,A
192,20230131_PDOgd_75_B_B7C18_B,6.778506023,20230131,PDOgd,75,B,B7C18,B
193,20230131_PDOgd_75_B_B7C18_C,29.95596522,20230131,PDOgd,75,B,B7C18,C
194,20230131_PDOgd_75_E_BM_A,28.2539211,20230131,PDOgd,75,E,BM,A
195,20230131_PDOgd_75_E_BM_B,5.155260153,20230131,PDOgd,75,E,BM,B
196,20230131_PDOgd_75_E_BM_C,0,20230131,PDOgd,75,E,BM,C
197,20230131_PDOgd_75_E_B7C18_A,4.672863213,20230131,PDOgd,75,E,B7C18,A
198,20230131_PDOgd_75_E_B7C18_B,0,20230131,PDOgd,75,E,B7C18,B
199,20230131_PDOgd_75_E_B7C18_C,9.419359113,20230131,PDOgd,75,E,B7C18,C
206,20230131_PDOgd_99_7_BM_A,22.7493042,20230131,PDOgd,99,7,BM,A
207,20230131_PDOgd_99_7_BM_B,8.02769612,20230131,PDOgd,99,7,BM,B
208,20230131_PDOgd_99_7_BM_C,36.70334486,20230131,PDOgd,99,7,BM,C
209,20230131_PDOgd_99_7_B7C18_A,45.33891344,20230131,PDOgd,99,7,B7C18,A
210,20230131_PDOgd_99_7_B7C18_B,32.22998676,20230131,PDOgd,99,7,B7C18,B
211,20230131_PDOgd_99_7_B7C18_C,52.15582654,20230131,PDOgd,99,7,B7C18,C
212,20230131_PDOgd_99_A_BM_A,34.58060496,20230131,PDOgd,99,A,BM,A
213,20230131_PDOgd_99_A_BM_B,21.88812216,20230131,PDOgd,99,A,BM,B
214,20230131_PDOgd_99_A_BM_C,35.79932596,20230131,PDOgd,99,A,BM,C
215,20230131_PDOgd_99_A_B7C18_A,48.25080225,20230131,PDOgd,99,A,B7C18,A
216,20230131_PDOgd_99_A_B7C18_B,54.36266745,20230131,PDOgd,99,A,B7C18,B
217,20230131_PDOgd_99_A_B7C18_C,41.02645824,20230131,PDOgd,99,A,B7C18,C
218,20230131_PDOgd_99_B_BM_A,32.71215595,20230131,PDOgd,99,B,BM,A
219,20230131_PDOgd_99_B_BM_B,20.82932003,20230131,PDOgd,99,B,BM,B
220,20230131_PDOgd_99_B_BM_C,23.88032704,20230131,PDOgd,99,B,BM,C
221,20230131_PDOgd_99_B_B7C18_A,29.04220957,20230131,PDOgd,99,B,B7C18,A
222,20230131_PDOgd_99_B_B7C18_B,43.077608,20230131,PDOgd,99,B,B7C18,B
223,20230131_PDOgd_99_B_B7C18_C,41.2957348,20230131,PDOgd,99,B,B7C18,C
224,20230131_PDOgd_99_E_BM_A,21.27617716,20230131,PDOgd,99,E,BM,A
225,20230131_PDOgd_99_E_BM_B,0,20230131,PDOgd,99,E,BM,B
226,20230131_PDOgd_99_E_BM_C,21.07343416,20230131,PDOgd,99,E,BM,C
227,20230131_PDOgd_99_E_B7C18_A,27.50652609,20230131,PDOgd,99,E,B7C18,A
228,20230131_PDOgd_99_E_B7C18_B,45.09502661,20230131,PDOgd,99,E,B7C18,B
229,20230131_PDOgd_99_E_B7C18_C,35.31303063,20230131,PDOgd,99,E,B7C18,C
236,20230201_PDOgd_109_7_BM_A,21.98426212,20230201,PDOgd,109,7,BM,A
237,20230201_PDOgd_109_7_BM_B,10.47318229,20230201,PDOgd,109,7,BM,B
238,20230201_PDOgd_109_7_BM_C,22.32791673,20230201,PDOgd,109,7,BM,C
239,20230201_PDOgd_109_7_B7C18_A,49.87248139,20230201,PDOgd,109,7,B7C18,A
240,20230201_PDOgd_109_7_B7C18_B,50.26086365,20230201,PDOgd,109,7,B7C18,B
241,20230201_PDOgd_109_7_B7C18_C,47.90136403,20230201,PDOgd,109,7,B7C18,C
242,20230201_PDOgd_109_A_BM_A,23.90435896,20230201,PDOgd,109,A,BM,A
243,20230201_PDOgd_109_A_BM_B,24.99510339,20230201,PDOgd,109,A,BM,B
244,20230201_PDOgd_109_A_BM_C,21.76506201,20230201,PDOgd,109,A,BM,C
245,20230201_PDOgd_109_A_B7C18_A,57.94079656,20230201,PDOgd,109,A,B7C18,A
246,20230201_PDOgd_109_A_B7C18_B,59.70184825,20230201,PDOgd,109,A,B7C18,B
247,20230201_PDOgd_109_A_B7C18_C,59.86107999,20230201,PDOgd,109,A,B7C18,C
248,20230201_PDOgd_109_B_BM_A,5.028314043,20230201,PDOgd,109,B,BM,A
249,20230201_PDOgd_109_B_BM_B,24.6986316,20230201,PDOgd,109,B,BM,B
250,20230201_PDOgd_109_B_BM_C,19.66326338,20230201,PDOgd,109,B,BM,C
251,20230201_PDOgd_109_B_B7C18_A,54.37900236,20230201,PDOgd,109,B,B7C18,A
252,20230201_PDOgd_109_B_B7C18_B,57.71838698,20230201,PDOgd,109,B,B7C18,B
253,20230201_PDOgd_109_B_B7C18_C,57.81919024,20230201,PDOgd,109,B,B7C18,C
254,20230201_PDOgd_109_E_BM_A,32.021427,20230201,PDOgd,109,E,BM,A
255,20230201_PDOgd_109_E_BM_B,25.05307635,20230201,PDOgd,109,E,BM,B
256,20230201_PDOgd_109_E_BM_C,8.248552993,20230201,PDOgd,109,E,BM,C
257,20230201_PDOgd_109_E_B7C18_A,44.18591891,20230201,PDOgd,109,E,B7C18,A
258,20230201_PDOgd_109_E_B7C18_B,37.39201609,20230201,PDOgd,109,E,B7C18,B
259,20230201_PDOgd_109_E_B7C18_C,43.88330167,20230201,PDOgd,109,E,B7C18,C
266,20230201_PDOgd_141_7_BM_A,9.429218033,20230201,PDOgd,141,7,BM,A
267,20230201_PDOgd_141_7_BM_B,3.005816173,20230201,PDOgd,141,7,BM,B
268,20230201_PDOgd_141_7_BM_C,6.328466183,20230201,PDOgd,141,7,BM,C
269,20230201_PDOgd_141_7_B7C18_A,27.71701601,20230201,PDOgd,141,7,B7C18,A
270,20230201_PDOgd_141_7_B7C18_B,53.11457647,20230201,PDOgd,141,7,B7C18,B
271,20230201_PDOgd_141_7_B7C18_C,40.75308935,20230201,PDOgd,141,7,B7C18,C
272,20230201_PDOgd_141_A_BM_A,17.51311844,20230201,PDOgd,141,A,BM,A
273,20230201_PDOgd_141_A_BM_B,7.571559413,20230201,PDOgd,141,A,BM,B
274,20230201_PDOgd_141_A_BM_C,19.9339264,20230201,PDOgd,141,A,BM,C
275,20230201_PDOgd_141_A_B7C18_A,55.20004755,20230201,PDOgd,141,A,B7C18,A
276,20230201_PDOgd_141_A_B7C18_B,65.16488309,20230201,PDOgd,141,A,B7C18,B
277,20230201_PDOgd_141_A_B7C18_C,53.76186747,20230201,PDOgd,141,A,B7C18,C
278,20230201_PDOgd_141_B_BM_A,15.76256908,20230201,PDOgd,141,B,BM,A
279,20230201_PDOgd_141_B_BM_B,8.323066053,20230201,PDOgd,141,B,BM,B
280,20230201_PDOgd_141_B_BM_C,7.281010773,20230201,PDOgd,141,B,BM,C
281,20230201_PDOgd_141_B_B7C18_A,35.7751643,20230201,PDOgd,141,B,B7C18,A
282,20230201_PDOgd_141_B_B7C18_B,47.01503312,20230201,PDOgd,141,B,B7C18,B
283,20230201_PDOgd_141_B_B7C18_C,45.09834267,20230201,PDOgd,141,B,B7C18,C
284,20230201_PDOgd_141_E_BM_A,9.137931493,20230201,PDOgd,141,E,BM,A
285,20230201_PDOgd_141_E_BM_B,0,20230201,PDOgd,141,E,BM,B
286,20230201_PDOgd_141_E_BM_C,6.027322513,20230201,PDOgd,141,E,BM,C
287,20230201_PDOgd_141_E_B7C18_A,9.829983103,20230201,PDOgd,141,E,B7C18,A
